;Datatype;Decimals;Default;Description;ID;Key;ParentID;Position;ReleasePolicy;Title;Type;Unit;odata.type
495;;;;"Break in series marriages and marrying people
As a result of an improved production process, a slight increase can be observed in the figures on marriages and marrying people from 2010. From 2010 onwards marriages taking place abroad in particular are measured more accurately.

From 2010: dissolutions of marriages or registered partnership by death of the partner or by divorce (or ending).

Until 2010: dissolutions of marriages by death of the partner or divorce.
Excluding endings of registered partnerships.

Registered partnership:
A marriage-like relationship between two people of the opposite or same sex, registered at the Register of Births, Deaths and Marriages.
Registered partnership was introduced in The Netherlands on 1 January 1998.

Divorce:
Dissolution of the marriage pronounced by a judge on the basis of legal grounds. The divorce comes into force once it has been recorded in the municipal population register.
Concern divorces in which at least one partner is recorded in a municipal population register.";495;;494.0;;;Dissolutions of marriage/partnership;TopicGroup;;Cbs.OData.TopicGroup
211;;;;;211;;198.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
483;;;;"Marrying persons by sex and former marital status. Excluding persons who have registered a partnership.
From 2010 data will no longer be published in this publication.

Data includes all marriage partners and partners in a registered partnership entered in the Dutch municipal registers at the time of the marriage or the partnership.

Marital status:
Legal status involving someone's rights and competences as determined by legal marriage and registered partnership.

Registered partnership:
A marriage-like relationship between two people of the opposite or same sex, registered at the Register of Births, Deaths and Marriages.
Registered partnership was introduced in The Netherlands on 1 January 1998.";483;;454.0;;;Marrying persons (until 2010);TopicGroup;;Cbs.OData.TopicGroup
500;;;;"Since 2010, these numbers are no longer published in this table.
";500;;494.0;;;Dissolutions of marriage (until 2010);TopicGroup;;Cbs.OData.TopicGroup
392;;;;;392;;379.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
165;;;;;165;;152.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
108;;;;;108;;107.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
460;;;;"Marriages by sex of the partners.
Excluding registered partnerships.
Since 2010, these numbers are no longer published in this table.

Marriage:
Legal, formally sanctioned living arrangement between two people.
Since 1 April 2001, it is legally possible for people in the Netherlands to marry a person of the same sex.
The data includes marriages of which at least one partner is recorded in the municipal registers, irrespective of the country where the marriage was performed.
In order to get married in the Netherlands, both partners must be at least eighteen years old. In special cases, minors are allowed to marry, provided both partners are at least sixteen years old and the woman:
- is pregnant (this requires a medical certificate);
- already has a child (this requires a birth certificate).
Other exceptions are subject to approval by the Minister of Justice.

Registered partnership:
A relationship that is similar to marriage and is registered in the Municipal Population Register.
Both couples of the same and of different sex may have this type of relationship registered.
Registered partnership was introduced in the Netherlands on 1 January 1998.";460;;454.0;;;Marriages (until 2010);TopicGroup;;Cbs.OData.TopicGroup
120;;;;;120;;107.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
465;;;;"Registered partnerships by sex of the partners.
From 2010 data will no longer be published in this publication.

Registered partnership:
A relationship that is similar to marriage and is registered in the Municipal Population Register.
Both couples of the same and of different sex may have this type of relationship registered.
Registered partnership was introduced in the Netherlands on 1 January 1998.
The data includes registered partnerships of which at least one partner is recorded in the municipal registers, irrespective of the country where the partnership was performed.";465;;454.0;;;Registered partnerships (until 2010);TopicGroup;;Cbs.OData.TopicGroup
455;;;;"Marriages including registered partnerships by sex of the partners.
Available from 2010.

Marriage:
Legal, formally sanctioned living arrangement between two people.
Since 1 April 2001, it is legally possible for people in the Netherlands to marry a person of the same sex.
The data includes marriages of which at least one partner is recorded in the municipal registers, irrespective of the country where the marriage was performed.
In order to get married in the Netherlands, both partners must be at least eighteen years old. In special cases, minors are allowed to marry, provided both partners are at least sixteen years old and the woman:
- is pregnant (this requires a medical certificate);
- already has a child (this requires a birth certificate).
Other exceptions are subject to approval by the Minister of Justice.

Registered partnership:
A relationship that is similar to marriage and is registered in the Municipal Population Register.
Both couples of the same and of different sex may have this type of relationship registered.
Registered partnership was introduced in the Netherlands on 1 January 1998.
The data includes registered partnerships of which at least one partner is recorded in the municipal registers, irrespective of the country where the partnership was performed.";455;;454.0;;;Marriages / registered partnerships;TopicGroup;;Cbs.OData.TopicGroup
470;;;;"Marrying persons including persons who have signed registered partnership agreements by gender and marital status prior to the marriage or registered partnership.

Break in series marriages and marrying people
As a result of an improved production process, a slight increase can be observed in the figures on marriages and marrying people from 2010. From 2010 onwards marriages taking place abroad in particular are measured more accurately.
Available since 2010.

Which persons are counted?
Persons who, at the time of their marriage or partnership registration are included in the municipal population database of a Dutch municipality, irrespective of the country where they got married or their partnership was registered.

Marital status:
Formal position of a person indicating whether they are married or have signed a registered partnership.

Registered partnership:
A relationship resembling marriage between two persons of the same or opposite gender officially registered by the authorities. On 1 January 1998, registered partnerships were introduced in the Netherlands.
";470;;454.0;;;Marriage / partnership: persons;TopicGroup;;Cbs.OData.TopicGroup
471;;;;;471;;470.0;;;Males;TopicGroup;;Cbs.OData.TopicGroup
74;;;;;74;;61.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
454;;;;"Break in series: late reports
Until 2010, reports on events taking place in a certain year received by Statistics Netherlands after 15 February in the following year were disregarded. These are so-called late reports.
As a result of an improvement in the production process, from 2010 these late reports are included in the year of publication (i.e. not in the year the event took place, but in the year the results are published).

Break in series marriages and marrying people
As a result of an improved production process, a slight increase can be observed in the figures on marriages and marrying people from 2010. From 2010 onwards marriages taking place abroad in particular are measured more accurately.";454;;;;;Marriage / partnership;TopicGroup;;Cbs.OData.TopicGroup
440;;;;Persons moved between municipalities within the same province.;440;;439.0;;;Within provinces;TopicGroup;;Cbs.OData.TopicGroup
477;;;;;477;;470.0;;;Females;TopicGroup;;Cbs.OData.TopicGroup
439;;;;"Someone who moved between municipalities:
A person who moved from one municipality to another.
Excluding changes caused by municipal border changes.";439;;424.0;;;Between municipalities;TopicGroup;;Cbs.OData.TopicGroup
432;;;;"Total persons moved within municipalities by family relationship during the move.
Persons belong to the same family if they move on the same day and have the same old as well as new address. A person moves as an individual when there is no other person moving on the same day from the old to the new address.

Someone who moved within a municipality:
A person who moved from one address in a municipality to another address in the same municipality.";432;;424.0;;;Within municipalities;TopicGroup;;Cbs.OData.TopicGroup
425;;;;"Total persons moved by family relationship during the move.
Persons belong to the same family if they move on the same day and have the same old as well as new address. A person moves as an individual when there is no other person moving on the same day from the old to the new address.";425;;424.0;;;Total persons moved by family relatio...;TopicGroup;;Cbs.OData.TopicGroup
424;;;;"Since 2010, numbers by place in the family are no longer available.

Move:
Change of address with the exception of changes that are the result of a change in street names, house numbers, municipal boundary changes etc.";424;;59.0;;;Persons who moved within the Netherlands;TopicGroup;;Cbs.OData.TopicGroup
152;;;;"Emigration excluding administrative corrections.
Data on emigration including net administrative corrections give a better impression of the true level of emigration than data on emigration excluding net administrative corrections.

Emigration:
People leaving for another country.
Emigration relates to all individuals departing from the Netherlands, whose departure result in removals from the Netherlands population registers. The criteria for removal from the registers are 8 months abroad in the following 12 months.

Administrative correction:
Entries in and removals from the municipal population register for reasons other than birth, death, arrival, departure or municipal boundary change.
The greater part of these corrections relates to the processing of either the departures of persons who did not notify the local authorities or the subsequent arrivals.

Administrative entry:
Decision by a municipality, at the request of the person concerned, to include that person in its population while it has no knowledge of birth, immigration or establishment of that person from another municipality in the Netherlands.

Administrative removal:
Decision by a municipality no longer to include a person in its population, once it has established that the address of the person is unknown, the person cannot be contacted and probably no longer resides in a municipality in the Netherlands.";152;;106.0;;;Emigration excluding administrative c...;TopicGroup;;Cbs.OData.TopicGroup
447;;;;Persons moved from one province to the other.;447;;439.0;;;Between provinces;TopicGroup;;Cbs.OData.TopicGroup
39;;;;;39;;30.0;;;Male;TopicGroup;;Cbs.OData.TopicGroup
484;;;;;484;;483.0;;;Males;TopicGroup;;Cbs.OData.TopicGroup
107;;;;"Emigration including administrative corrections.
Data on emigration including net administrative corrections give a better impression of the true level of emigration than data on emigration excluding net administrative corrections.

Emigration:
People leaving for another country.
Emigration relates to all individuals departing from the Netherlands, whose departure result in removals from the Netherlands population registers. The criteria for removal from the registers are 8 months abroad in the following 12 months.

Administrative correction:
Entries in and removals from the municipal population register for reasons other than birth, death, arrival, departure or municipal boundary change.
The greater part of these corrections relates to the processing of either the departures of persons who did not notify the local authorities or the subsequent arrivals.

Administrative entry:
Decision by a municipality, at the request of the person concerned, to include that person in its population while it has no knowledge of birth, immigration or establishment of that person from another municipality in the Netherlands.

Administrative removal:
Decision by a municipality no longer to include a person in its population, once it has established that the address of the person is unknown, the person cannot be contacted and probably no longer resides in a municipality in the Netherlands.";107;;106.0;;;Emigration including administrative c...;TopicGroup;;Cbs.OData.TopicGroup
14;;;;"Live born children by birth order from the mother.
As from 2010, provisional figures by rank number are no longer available, but definite numbers will be added to the table on an annual basis.

Live born child:
A baby showing some sign of life after birth, regardless of the duration of pregnancy.

Birth order from the mother:
The position of the child in the ranking of live born children from a mother.";14;;12.0;;;Live born children: birth order;TopicGroup;;Cbs.OData.TopicGroup
511;;;;"Asylum request:
From 1 January 2012 on figures on the numbers of requests for asylum by citizenship are no longer reported in this publication. These figures are being published in the table: Request for Asylum by nationality, sex and age. The link to this table can be found at paragraph 2: Links to relevant tables and publications.

A written request to be recognised as a refugee under the 1951 Geneva Convention.
If the request is granted the asylum seeker receives a residence permit.
Granted requests may refer to a request of the current or a previous year.
If the request for asylum is definitely rejected, the asylum seeker is removed from the country. This can take place by one of three methods: deportation, departure under supervision, and police inspection of address after notice to leave.

Asylum seeker:
A person who for various reasons has left his or her own country in order to seek protection or asylum in another country, the Netherlands for instance.
The number of individual requests for asylum is registered by the Ministry of Justice, the source of the figures mentioned in the table.
Not every asylum seeker in a certain year is counted as an immigrant in that year. For the latter to be the case, registration in a municipal population register is required. Asylum seekers will only be registered either in course of time (in the year after one has filed a request for asylum for instance) or not at all (in case the request is refused for instance).

In order to prevent the identification of individual persons, the information shown in the table is protected by means of rounding. The original data are rounded up or down to the closest multiple of ten. The round figures are not adjusted to add up to the sum total, in order to stay as close as possible to the original data.";511;;;;;Asylumrequests by country of nationality;TopicGroup;;Cbs.OData.TopicGroup
12;;;;"Break in series: late reports
Until 2010, reports on events taking place in a certain year received by Statistics Netherlands after 15 February in the following year were disregarded. These are so-called late reports.
As a result of an improvement in the production process, from 2010 these late reports are included in the year of publication (i.e. not in the year the event took place, but in the year the results are published).
";12;;;;;Births;TopicGroup;;Cbs.OData.TopicGroup
335;;;;;335;;334.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
334;;;;;334;;288.0;;;Removals;TopicGroup;;Cbs.OData.TopicGroup
20;;;;"Live born children by marital status of the mother.
As from 2010, provisional figures by rank number are no longer available, but definite numbers will be added to the table on an annual basis.

Break in series marital status
From 2010 onwards a small shift has occured between a number of marital statuses (fewer never married and more married, divorced and widowed respectively).
Because information on some marital statuses was lacking for the period 1998 to 2010 in data used by Statistics Netherlands, 'partnership', 'divorced after partnership' and 'widowed after partnership' were not included in these statistics for this period. For these statistics, the marital status before the partnership was used instead, which was mostly 'never married'. 
From 2010 all marital statuses are available.

Live born child:
A baby showing some sign of life after birth, regardless of the duration of pregnancy.

Marital status:
Legal status involving someone's rights and competences as determined by legal marriage and registered partnership.

Registered partnership:
A relationship that is similar to marriage and is registered in the Municipal Population Register.
Both couples of the same and of different sex may have this type of relationship registered.
Registered partnership was introduced in the Netherlands on 1 January 1998.";20;;12.0;;;Live born children: marital status mo...;TopicGroup;;Cbs.OData.TopicGroup
1;;;;"Population stock:
Size and composition of the population and its components at a given time.

Break in series: late reports
Until 2010, reports on events taking place in a certain year received by Statistics Netherlands after 15 February in the following year were disregarded. These are so-called late reports.
As a result of an improvement in the production process, from 2010 these late reports are included in the year of publication (i.e. not in the year the event took place, but in the year the results are published).

Population flow:
Changes in population numbers as a result of births, deaths, immigration, emigration, administrative and other corrections.

Population:
The population figures (numbers of inhabitants) shown in this publication relate to the resident ('de jure') population: persons who reside habitually in the Netherlands and who are recorded in the municipal population registers. In principle all those residing in the Netherlands for an indefinite period are entered into the population register of the municipality where they usually live.";1;;;;;Population stock and flow;TopicGroup;;Cbs.OData.TopicGroup
288;;;;"Administrative corrections by country of birth.

Administrative correction:
Entries in and removals from the municipal population register for 
reasons other than birth, death, arrival, departure or municipal boundary 
change.
The greater part of these corrections relates to the processing of either 
the departures of persons who did not notify the local authorities or the 
subsequent arrivals.

Administrative entry:
Decision by a municipality, at the request of the person concerned, to 
include that person in its population while it has no knowledge of birth, 
immigration or establishment of that person from another municipality in 
the Netherlands.

Administrative removal:
Decision by a municipality no longer to include a person in its 
population, once it has established that the address of the person is 
unknown, the person cannot be contacted and probably no longer resides in a municipality in the Netherlands.";288;;59.0;;;Administrative corrections: country o...;TopicGroup;;Cbs.OData.TopicGroup
256;;;;;256;;243.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
26;;;;"Break in series: late reports
Until 2010, reports on events taking place in a certain year received by Statistics Netherlands after 15 February in the following year were disregarded. These are so-called late reports.
As a result of an improvement in the production process, from 2010 these late reports are included in the year of publication (i.e. not in the year the event took place, but in the year the results are published).
";26;;;;;Mortality;TopicGroup;;Cbs.OData.TopicGroup
27;;;;"Only yearly data available.

Life expectancy at birth:
The number of years someone is expected to live at birth according to the life table.

Life expectancy table:
Table showing how many of 100,000 newborn boys or girls will reach the age of 0.5, 1.5, 2,5 years etc. on the basis of the mortality rate during a given period or birth cohort.";27;;26.0;;;Life expectancy at birth;TopicGroup;;Cbs.OData.TopicGroup
290;;;;;290;;289.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
289;;;;;289;;288.0;;;Entries;TopicGroup;;Cbs.OData.TopicGroup
347;;;;;347;;334.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
31;;;;;31;;30.0;;;Males and females;TopicGroup;;Cbs.OData.TopicGroup
302;;;;;302;;289.0;;;Countries;TopicGroup;;Cbs.OData.TopicGroup
244;;;;;244;;243.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
505;;;;"Break in series marriages and marrying people
As a result of an improved production process, a slight increase can be observed in the figures on marriages and marrying people from 2010. From 2010 onwards marriages taking place abroad in particular are measured more accurately.

Divorced persons by sex.
Concerns divorcing persons registered in a Dutch municipal population register when the divorce is granted by court. Including persons who disolved their registered partnership.

Registered partnership:
A relationship that is similar to marriage and is registered in the Municipal Population Register.
Both couples of the same and of different sex may have this type of relationship registered.
Registered partnership was introduced in the Netherlands on 1 January 1998.";505;;494.0;;;Divorced persons (since 2010);TopicGroup;;Cbs.OData.TopicGroup
30;;;;"Death by sex and age on 31 December.

Death:
Person declared dead by an authorized doctor.

Age:
The number of whole years that have passed between the date of birth of the deceased person and 31 December of the year of death, calculated as the year of death minus the year of birth.
As a consequence of determining age in this manner, interpreting age-specific monthly figures may sometimes be difficult. For a better understanding, the relationships between the various data should be studied in a longer time series (see the article The use of the age concept in monthly population figures, which was published in the March 1996 edition of the Monthly Bulletin of Population Statistics).";30;;26.0;;;Deaths by sex and age (31-12);TopicGroup;;Cbs.OData.TopicGroup
243;;;;"Net migration excluding administrative corrections.
Data on net migration including net administrative corrections give a better impression of the true level of net migration than data on net migration excluding net administrative corrections.

Administrative correction:
Entries in and removals from the municipal population register for reasons other than birth, death, arrival, departure or municipal boundary change.
The greater part of these corrections relates to the processing of either the departures of persons who did not notify the local authorities or the subsequent arrivals.

Administrative entry:
Decision by a municipality, at the request of the person concerned, to include that person in its population while it has no knowledge of birth, immigration or establishment of that person from another municipality in the Netherlands.

Administrative removal:
Decision by a municipality no longer to include a person in its population, once it has established that the address of the person is unknown, the person cannot be contacted and probably no longer resides in a municipality in the Netherlands.";243;;197.0;;;Net migration excluding administrativ...;TopicGroup;;Cbs.OData.TopicGroup
508;;;;"Excluding persons who disolved their registered partnership.

Since 2010, these numbers are no longer published in this table.
";508;;494.0;;;Divorced persons (until 2010);TopicGroup;;Cbs.OData.TopicGroup
122;Double;0.0;Impossible;;122;Afghanistan_102;120.0;102.0;;Afghanistan;Topic;number;Cbs.OData.Topic
167;Long;0.0;Impossible;;167;Afghanistan_144;165.0;144.0;;Afghanistan;Topic;number;Cbs.OData.Topic
213;Double;0.0;Impossible;;213;Afghanistan_186;211.0;186.0;;Afghanistan;Topic;number;Cbs.OData.Topic
258;Double;0.0;Impossible;;258;Afghanistan_228;256.0;228.0;;Afghanistan;Topic;number;Cbs.OData.Topic
304;Long;0.0;Impossible;;304;Afghanistan_270;302.0;270.0;;Afghanistan;Topic;number;Cbs.OData.Topic
349;Long;0.0;Impossible;;349;Afghanistan_312;347.0;312.0;;Afghanistan;Topic;number;Cbs.OData.Topic
394;Double;0.0;Impossible;;394;Afghanistan_354;392.0;354.0;;Afghanistan;Topic;number;Cbs.OData.Topic
513;Long;0.0;Impossible;;513;Afghanistan_451;511.0;451.0;;Afghanistan;Topic;number;Cbs.OData.Topic
76;Long;0.0;Impossible;;76;Afghanistan_60;74.0;60.0;;Afghanistan;Topic;number;Cbs.OData.Topic
155;Long;0.0;Impossible;;155;Africa_133;153.0;133.0;;Africa;Topic;number;Cbs.OData.Topic
201;Double;0.0;Impossible;;201;Africa_175;199.0;175.0;;Africa;Topic;number;Cbs.OData.Topic
246;Double;0.0;Impossible;;246;Africa_217;244.0;217.0;;Africa;Topic;number;Cbs.OData.Topic
292;Long;0.0;Impossible;;292;Africa_259;290.0;259.0;;Africa;Topic;number;Cbs.OData.Topic
337;Long;0.0;Impossible;;337;Africa_301;335.0;301.0;;Africa;Topic;number;Cbs.OData.Topic
382;Double;0.0;Impossible;;382;Africa_343;380.0;343.0;;Africa;Topic;number;Cbs.OData.Topic
64;Long;0.0;Impossible;;64;Africa_49;62.0;49.0;;Africa;Topic;number;Cbs.OData.Topic
110;Double;0.0;Impossible;;110;Africa_91;108.0;91.0;;Africa;Topic;number;Cbs.OData.Topic
156;Long;0.0;Impossible;;156;America_134;153.0;134.0;;America;Topic;number;Cbs.OData.Topic
202;Double;0.0;Impossible;;202;America_176;199.0;176.0;;America;Topic;number;Cbs.OData.Topic
247;Double;0.0;Impossible;;247;America_218;244.0;218.0;;America;Topic;number;Cbs.OData.Topic
293;Long;0.0;Impossible;;293;America_260;290.0;260.0;;America;Topic;number;Cbs.OData.Topic
338;Long;0.0;Impossible;;338;America_302;335.0;302.0;;America;Topic;number;Cbs.OData.Topic
383;Double;0.0;Impossible;;383;America_344;380.0;344.0;;America;Topic;number;Cbs.OData.Topic
65;Long;0.0;Impossible;;65;America_50;62.0;50.0;;America;Topic;number;Cbs.OData.Topic
111;Double;0.0;Impossible;;111;America_92;108.0;92.0;;America;Topic;number;Cbs.OData.Topic
123;Double;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;123;Angola_103;120.0;103.0;;Angola;Topic;number;Cbs.OData.Topic
168;Long;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;168;Angola_145;165.0;145.0;;Angola;Topic;number;Cbs.OData.Topic
214;Double;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;214;Angola_187;211.0;187.0;;Angola;Topic;number;Cbs.OData.Topic
259;Double;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;259;Angola_229;256.0;229.0;;Angola;Topic;number;Cbs.OData.Topic
305;Long;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;305;Angola_271;302.0;271.0;;Angola;Topic;number;Cbs.OData.Topic
350;Long;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;350;Angola_313;347.0;313.0;;Angola;Topic;number;Cbs.OData.Topic
395;Double;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;395;Angola_355;392.0;355.0;;Angola;Topic;number;Cbs.OData.Topic
77;Long;0.0;Impossible;Angola, Cabinda, Portuguese Africa, Portuguese Western Africa.;77;Angola_61;74.0;61.0;;Angola;Topic;number;Cbs.OData.Topic
514;Long;0.0;Impossible;;514;Armenia_452;511.0;452.0;;Armenia;Topic;number;Cbs.OData.Topic
157;Long;0.0;Impossible;;157;Asia_135;153.0;135.0;;Asia;Topic;number;Cbs.OData.Topic
203;Double;0.0;Impossible;;203;Asia_177;199.0;177.0;;Asia;Topic;number;Cbs.OData.Topic
248;Double;0.0;Impossible;;248;Asia_219;244.0;219.0;;Asia;Topic;number;Cbs.OData.Topic
294;Long;0.0;Impossible;;294;Asia_261;290.0;261.0;;Asia;Topic;number;Cbs.OData.Topic
339;Long;0.0;Impossible;;339;Asia_303;335.0;303.0;;Asia;Topic;number;Cbs.OData.Topic
384;Double;0.0;Impossible;;384;Asia_345;380.0;345.0;;Asia;Topic;number;Cbs.OData.Topic
66;Long;0.0;Impossible;;66;Asia_51;62.0;51.0;;Asia;Topic;number;Cbs.OData.Topic
112;Double;0.0;Impossible;;112;Asia_93;108.0;93.0;;Asia;Topic;number;Cbs.OData.Topic
124;Double;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;124;Australia_104;120.0;104.0;;Australia;Topic;number;Cbs.OData.Topic
169;Long;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;169;Australia_146;165.0;146.0;;Australia;Topic;number;Cbs.OData.Topic
215;Double;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;215;Australia_188;211.0;188.0;;Australia;Topic;number;Cbs.OData.Topic
260;Double;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;260;Australia_230;256.0;230.0;;Australia;Topic;number;Cbs.OData.Topic
306;Long;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;306;Australia_272;302.0;272.0;;Australia;Topic;number;Cbs.OData.Topic
351;Long;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;351;Australia_314;347.0;314.0;;Australia;Topic;number;Cbs.OData.Topic
396;Double;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;396;Australia_356;392.0;356.0;;Australia;Topic;number;Cbs.OData.Topic
78;Long;0.0;Impossible;Australia, Christmas Island, Cocos (Keeling) Islands, Tasmania.;78;Australia_62;74.0;62.0;;Australia;Topic;number;Cbs.OData.Topic
125;Double;0.0;Impossible;;125;Belgium_105;120.0;105.0;;Belgium;Topic;number;Cbs.OData.Topic
170;Long;0.0;Impossible;;170;Belgium_147;165.0;147.0;;Belgium;Topic;number;Cbs.OData.Topic
216;Double;0.0;Impossible;;216;Belgium_189;211.0;189.0;;Belgium;Topic;number;Cbs.OData.Topic
261;Double;0.0;Impossible;;261;Belgium_231;256.0;231.0;;Belgium;Topic;number;Cbs.OData.Topic
307;Long;0.0;Impossible;;307;Belgium_273;302.0;273.0;;Belgium;Topic;number;Cbs.OData.Topic
352;Long;0.0;Impossible;;352;Belgium_315;347.0;315.0;;Belgium;Topic;number;Cbs.OData.Topic
397;Double;0.0;Impossible;;397;Belgium_357;392.0;357.0;;Belgium;Topic;number;Cbs.OData.Topic
79;Long;0.0;Impossible;;79;Belgium_63;74.0;63.0;;Belgium;Topic;number;Cbs.OData.Topic
